channel,date_field,date_source,engine,ev_id,is_first_of_minor,line,minor_series,released_on,schema,tag,v,version
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-17,releases,4.0-beta13,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-20,releases,4.0-beta14,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-24,releases,4.0-beta15,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-01-27,releases,4.0-beta16,0.1,4.0
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-01,releases,4.0-beta17,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-08,releases,4.0-rc1,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-14,releases,4.0-rc2,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-21,releases,4.0-rc3,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-23,releases,4.0-rc4,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-24,releases,4.0-rc5,0.1,4.0
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-02-27,releases,4.0-rc6,0.1,4.0
stable,published_at,godotengine/godot,godot,220661a691a4,True,4.x,4.0,2023-03-01,releases,4.0-stable,0.1,4.0
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.5,2023-03-07,releases,3.5.2-stable,0.1,3.5.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-03-15,releases,4.0.1-rc1,0.1,4.0.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-03-17,releases,4.0.1-rc2,0.1,4.0.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.0,2023-03-20,releases,4.0.1-stable,0.1,4.0.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-03-31,releases,4.0.2-rc1,0.1,4.0.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.0,2023-04-04,releases,4.0.2-stable,0.1,4.0.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2023-04-12,releases,3.6-beta1,0.1,3.6
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-04-21,releases,4.1-dev1,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-04-27,releases,4.0.3-rc1,0.1,4.0.3
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-05-09,releases,4.1-dev2,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-05-12,releases,4.0.3-rc2,0.1,4.0.3
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.0,2023-05-19,releases,4.0.3-stable,0.1,4.0.3
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2023-05-24,releases,3.6-beta2,0.1,3.6
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-05-25,releases,4.1-dev3,0.1,4.1
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-01,releases,4.1-dev4,0.1,4.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-07,releases,4.1-beta1,0.1,4.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-14,releases,4.1-beta2,0.1,4.1
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-21,releases,4.1-beta3,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-27,releases,4.1-rc1,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-06-29,releases,4.1-rc2,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-07-04,releases,4.1-rc3,0.1,4.1
stable,published_at,godotengine/godot,godot,220661a691a4,True,4.x,4.1,2023-07-06,releases,4.1-stable,0.1,4.1
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-07-12,releases,4.1.1-rc1,0.1,4.1.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.1,2023-07-17,releases,4.1.1-stable,0.1,4.1.1
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-07-19,releases,4.2-dev1,0.1,4.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.0,2023-07-21,releases,4.0.4-rc1,0.1,4.0.4
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-07-28,releases,4.2-dev2,0.1,4.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.0,2023-08-03,releases,4.0.4-stable,0.1,4.0.4
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-08-10,releases,4.2-dev3,0.1,4.2
beta,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2023-08-16,releases,3.6-beta3,0.1,3.6
dev,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-09-01,releases,4.2-dev4,0.1,4.2
rc,created_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.5,2023-09-07,releases,3.5.3-rc1,0.1,3.5.3
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-09-19,releases,4.2-dev5,0.1,4.2
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-09-22,releases,4.1.2-rc1,0.1,4.1.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,3.x,3.5,2023-09-25,releases,3.5.3-stable,0.1,3.5.3
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-10-03,releases,4.2-dev6,0.1,4.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.1,2023-10-04,releases,4.1.2-stable,0.1,4.1.2
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-10-12,releases,4.2-beta1,0.1,4.2
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-10-19,releases,4.2-beta2,0.1,4.2
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-10-24,releases,4.2-beta3,0.1,4.2
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2023-10-27,releases,4.1.3-rc1,0.1,4.1.3
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-10-31,releases,4.2-beta4,0.1,4.2
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.1,2023-11-01,releases,4.1.3-stable,0.1,4.1.3
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-11-06,releases,4.2-beta5,0.1,4.2
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-11-13,releases,4.2-beta6,0.1,4.2
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-11-17,releases,4.2-rc1,0.1,4.2
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-11-25,releases,4.2-rc2,0.1,4.2
stable,published_at,godotengine/godot,godot,220661a691a4,True,4.x,4.2,2023-11-30,releases,4.2-stable,0.1,4.2
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2023-12-07,releases,4.2.1-rc1,0.1,4.2.1
stable,published_at,godotengine/godot,godot,220661a691a4,False,4.x,4.2,2023-12-12,releases,4.2.1-stable,0.1,4.2.1
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2023-12-21,releases,4.3-dev1,0.1,4.3
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-01-10,releases,4.3-dev2,0.1,4.3
beta,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,3.x,3.6,2024-01-24,releases,3.6-beta4,0.1,3.6
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2024-01-25,releases,4.1.4-rc1,0.1,4.1.4
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2024-01-26,releases,4.2.2-rc1,0.1,4.2.2
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-02-08,releases,4.3-dev3,0.1,4.3
dev,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.3,2024-02-29,releases,4.3-dev4,0.1,4.3
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.1,2024-03-13,releases,4.1.4-rc2,0.1,4.1.4
rc,published_at,godotengine/godot-builds,godot,9f1931f0d0f8,False,4.x,4.2,2024-03-13,releases,4.2.2-rc2,0.1,4.2.2
